title,address,phone,rating,category,logo,website,html_logo_help,html_logo,keyword,location
Subject: A Cocktail Bar,"188 Suffolk St, New York, NY 10002, United States",,4.6,Cocktail bar,https://images.squarespace-cdn.com/content/v1/59a6cfeb15d5dbf2569b7b42/1571681803170-6Y6X48WFMBTW8FP8KT2D/subject-logo.png?format=750w,https://www.subject-les.com/,,"""""",bars,nyc
Mercury Bar West,"659 9th Ave, New York, NY 10036, United States",212-262-7755,4.3,Sports bar,https://mercurybarnyc.com/images/adacompliance_red.png?crc=4010162952,https://mercurybarnyc.com/,,"""""",bars,nyc
Le Bar,"225 Liberty St, New York, NY 10281, United States",212-981-8588,4.8,bar,https://images.squarespace-cdn.com/content/v1/57ff53bb5016e106fae78b50/1477328367104-Z1VDR2F4VLRIAUMFX228/ledistrictlogo.png?format=1500w,https://www.ledistrict.com/le-bar,,"""""",bars,nyc
Jameson's,"920 2nd Ave, New York, NY 10017, United States",934-333-4058,4.5,Pub,https://images.getbento.com/accounts/ff0b69ed594e438f21a96b62623115fb/media/images/83547White_on_Transparent_copy.png,https://www.jamesonsbarnyc.com/,,"""""",bars,nyc
Tír na Nóg,"254 W 31st St, New York, NY 10001, United States",212-630-0249,n/a,Irish restaurant,http://www.tirnanognyc.com/templates/default/en/images/tnn-newlogo.png,http://www.tirnanognyc.com/pennstation,,"""""",bars,nyc
Anotheroom,"249 W Broadway, New York, NY 10013, United States",917-388-3720,4.3,bar,,https://anotheroom.business.site/,,"""""",bars,nyc
Saint Tuesday,"24 Cortlandt Alley, New York, NY 10013, United States",,4.2,bar,,https://www.sainttuesday.com/,,"""""",bars,nyc
Ryan Maguire's Bar & Restaurant,"28 Cliff St, New York, NY 10038, United States",212-566-6906,4.5,Irish restaurant,https://static.spotapps.co/web/ryanmaguiresalehouse--com/custom/logo.png,https://ryanmaguiresalehouse.com/,,"""""",bars,nyc
Bar Hugo,"525 Greenwich St, New York, NY 10013, United States",212-608-4848,4.3,bar,https://www.barhugorooftop.com/assets/images/map-pin.jpg,https://www.barhugorooftop.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing,,"""""",bars,nyc
Bar Room at the Beekman,"123 Nassau St, New York, NY 10038, United States",,3.8,Cocktail bar,https://images.getbento.com/accounts/cfa0cd77f1decedb3a411e9b6ad3dfcc/media/images/7259templecourt.png,https://www.templecourtnyc.com/about-the-bar-room/,,"""""",bars,nyc
The Library Bar,"1001 Broadway, New York, NY 10001, United States",,4.3,bar,,,,"""""",bars,nyc
Belle Reve,"305 Church St, New York, NY 10013, United States",212-680-0101,4.3,bar,https://images.getbento.com/accounts/058cf302b9337e782926cf710c462cf3/media/accounts/media/7yahKqobSFS4bsQ4enYM_whitegoldlogo.png,https://www.bellerevenyc.com/,,"""""",bars,nyc
Roxy Bar,"2 6th Ave, New York, NY 10013, United States",212-519-6661,4.3,bar,https://d3rg18dos0rgue.cloudfront.net/wp-content/uploads/sites/7/2021/05/roxy-bar-logo-white%403x.png,https://www.roxybarnyc.com/,,"""""",bars,nyc
Black Hound Bar & Lounge,"301 South End Ave #1002, New York, NY 10280, United States",212-945-0562,4.3,Lounge,"https://images.getbento.com/accounts/c7c4a3851a0ed58d2ed4819559bf7e32/media/images/BHL.png?w=1000&fit=max&auto=compress,format&h=1000",https://www.blackhoundbar.com/,,"""""",bars,nyc
Peter Dillon's Pub,"130 E 40th St, New York, NY 10016, United States",212-213-3998,4.4,Pub,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRF0QMFfcLau7lj7w2LzRafUXVTwJUGv4I0eA&usqp=CAU,https://www.peterdillons.com/,,"""""",bars,nyc
Peak Lounge Bar,"30 Hudson Yards 5th Floor, New York, NY 10001, United States",332-204-8547,4.5,bar,https://www.peaknyc.com/wp-content/themes/peak/library/images/peak-logo-white-2022.png,https://www.peaknyc.com/peak-lounge/,,"""""",bars,nyc
The Brazen Tavern,"356 W 44th St, New York, NY 10036, United States",646-678-5989,4.4,bar,https://scontent.fskt2-1.fna.fbcdn.net/v/t1.6435-9/117175938_3296285297099776_8007390565642685770_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=973b4a&_nc_ohc=3fkHN7GFhh8AX9u52Ur&_nc_ht=scontent.fskt2-1.fna&oh=00_AfBkwG6r1GQyUeNjptfAXdFPbFWg-jibU-HjEfM0Qe0AJA&oe=64AEDA28,https://thebrazentavern.com/,,"""""",bars,nyc
Bar Orai,"212 E 52nd St 2nd fl, New York, NY 10022, United States",917-261-4726,4.7,bar,,http://instagram.com/bar.orai,,"""""",bars,nyc
King Cole Bar,"Two E 55th St, New York, NY 10022, United States",212-753-4500,4.4,bar,https://cache.marriott.com/content/dam/marriott-digital/xr/global-property-shared/en_us/logo/assets/xr-xr-logo-l-w-15006.png,https://www.marriott.com/en-us/hotels/nycxr-the-st-regis-new-york/dining/,,"""""",bars,nyc
St. Pat's Bar & Grill NYC,"22 W 46th St, New York, NY 10036, United States",332-378-5926,4.3,Bar & grill,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBts5nUCM-HWolS-fMKRfaFHIzk7uUAYA3semYoMYjVdJ-_GRMUjtPR60gBcxRzdPKYIU&usqp=CAU,https://stpatsbar.com/,,"""""",bars,nyc
Grand Bar & Salon,"310 W Broadway, New York, NY 10013, United State",212-965-3588,3.5,bar,https://logos-download.com/wp-content/uploads/2017/01/Soho_Grand_Hotel_logo-700x102.png,https://www.sohogrand.com/dining/grand-bar/,,"""""",bars,nyc
Recreation,"26 Ann St, New York, NY 10038, United States",646-992-5436,4.2,Cocktail bar,"https://static.wixstatic.com/media/a92af5_6a1a9e9e86f14c77ad74f46121c06017~mv2.png/v1/fill/w_198,h_68,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Recreation%20Green.png",https://www.recreationbar.com/,,"""""",bars,nyc
Beckett's Bar & Grill,"81 Pearl St, New York, NY 10004, United States",212-269-1001,4,Bar & grill,https://images.squarespace-cdn.com/content/v1/63640f115a74b9311175828a/df923bc1-bab1-44c7-a1d8-c63c7ac8e8f5/becketts-logo-version3_darkbeige2.png?format=1500w,https://www.beckettsny.com/,,"""""",bars,nyc
Rooftop Bars NYC,"230 5th Ave, New York, NY 10001, United States",,4.6,bar,,https://rooftopbarsnyc.com/,,"""""",bars,nyc
Mulberry Street Bar,"176 Mulberry St, New York, NY 10013, United States",212-226-9345,4.2,Pizza restaurant,"https://shop-logos.imgix.net/shops/57031/original/mulberry.png?auto=compress,format",https://www.mulberrystreetbarmenu.com/?utm_source=gbp,,"""""",bars,nyc
The Crown,"50 Bowery, New York, NY 10013, United States",646-639-4901,4.2,bar,https://images.getbento.com/accounts/211f6adf1310b8cfd29a2effee4a357b/media/images/95842THE-CROWN-LOGO.png,https://www.thecrownnyc.com/,,"""""",bars,nyc
Rumours Bar & Grille,"933 8th Ave, New York, NY 10019, United States",212-757-2373,4.2,Irish restaurant,https://static.spotapps.co/web/rumoursbar--com/custom/logo.png,https://rumoursbar.com/,,"""""",bars,nyc
Overstory,"70 Pine St 64th Floor, New York, NY 10005, United States",212-339-3963,4.5,Cocktail bar,https://theme-assets.getbento.com/overstory/3de57c7.overstory/assets/img/logo_red_full.png,https://www.overstory-nyc.com/,,"""""",bars,nyc
Oscar Wilde,"45 W 27th St, New York, NY 10001, United States",212-213-3066,4.3,New American restaurant,https://images.squarespace-cdn.com/content/v1/5845a812893fc0759873e11b/1496174401921-33JPEDJ81V26906BK6N2/image-asset.png?format=300w,https://www.oscarwildenyc.com/#welcome,,"""""",bars,nyc
The Garden Bar,"19 Fulton St, New York, NY 10038, United States",212-732-8257,4,bar,,https://makitiki.com/,,"""""",bars,nyc
